레벨별 몬스터 HP 설계용 · 10직업 비크리티컬 1회 공격 데미지
2026-09-11 / 현재 바탕화면 MSW 프로젝트 코드의 정적 계산 / UTF-8 메모장 문서
==========================================================================================
측정 범위와 가정
· Lv10~200, 10레벨 간격. Lv30=1차까지만, Lv70=2차까지만, Lv120=3차까지만 사용.
  다른 구간도 개별 스킬 요구레벨을 적용. 160 이후에도 4차까지만 계산(하이퍼 제외).
· 실제 Maker에서 반복 타격한 실측이 아니라 실행 수식을 옮긴 조건부 이론 평균이다.
· /lv 표준 레벨 곡선: 버프 전 총합 T=7L, 기본 전투력=floor((7L)^2/100).
  장비 잠재 추가데미지 0%, 초보자 공통 무기숙련 등 추가 공격력 0. 레벨만으로 실제 장비 구성은
  정해지지 않으므로 동일한 레벨 기준선을 사용했다. 직업 트레이닝·블레스·전투력 버프는 별도 적용.
· SP: 1차=3×clamp(L-9,0,20), 2차=3×clamp(L-29,0,40),
  3차=3×clamp(L-69,0,50), 4차=3×clamp(L-119,0,40). 차수 사이 SP 이동 없음.
· 배분 가정: 허용된 모든 투자 가능 스킬에 먼저 1포인트(버프·소환 포함), 대표 주력기 마스터,
  피해 관련 버프·강화 우선, 남은 포인트를 다른 스킬에 배분. 한 레벨의 모든 공격은 같은 빌드다.
  각 레벨에서 SP 재분배를 허용한 비교 빌드이며, 레벨업 중 자동으로 그대로 이어지는 육성표는 아니다.
  전 스킬 마스터 가정이 아니다. 상세부에 스킬별 실제 투자 수와 SP 사용량을 모두 적었다.
· 자기 직업·허용 차수의 습득한 버프와 소환은 활성 상태, 콤보·발도술은 해당 투자량의 최대 중첩.
  팔라딘 속성 4종은 동시 중첩 불가: 해당 빌드에서 직접타 배율이 가장 높은 속성 하나를 선택.
  나이트로드 표창 분산 OFF, 해금한 최상위 표창 사용. 섀도어는 후방/연막 조건을 적용.
· 기본 합계=적 한 마리에게 본체 1회 사용+확정 추가타(쉐도우 파트너 포함)의 모든 줄 합.
  확률포함 평균=위 값+파이널어택·암행 기대값. 암행은 적 한 마리만 있는 조건이다.
  합계는 타격별 정수 내림 전 평균이므로 실제 표시값과 작은 차이가 있다. 시전 전투력 내림은 반영.
· 섀도어는 은신 공격이 강제 크리티컬이다. 모든 버프 ON과 비크리 실측을 동시에 충족할 수 없다.
  HP 요약은 은신 해제 후 반복 공격값, 상세에는 은신 ×4에서 크리티컬만 제거한 가상 첫타를 병기.
· 독립 소환수·장판은 켜져 있어도 본체 1회마다 동시에 1타를 때리지 않는다. 별도 피해 단위를 표기.
  다크드래곤 랜덤 버프, 표식·유폭, 리커버리 오로라 안의 특수 연사는 기본 반복값에 합치지 않는다.
· 2/3/5회 HP는 평균 피해×횟수인 설계 참고값이다. 확정 N방 보장, 실제 평균 처치 횟수, DPS가 아니다.
  공격속도·대상 수·크리티컬·소환수 기여가 다르므로 같은 N방이 같은 처치 시간을 뜻하지 않는다.

레벨별 공통 HP 기준표 — 대표 주력기 확정 합계의 10직업 중앙값 사용
Lv | 차수 | 기본CP | 최소~최대 1회 | 중앙값 D | 2D HP | 3D HP | 5D HP | 현재 HP
 10 | 1차 |     49 | 11.88~61.25 | 15.19 | 31 | 46 | 76 | 110
 20 | 1차 |    196 | 237.16~411.60 | 255.07 | 511 | 766 | 1,276 | 595
 30 | 1차 |    441 | 533.61~926.10 | 599.31 | 1,199 | 1,798 | 2,997 | 1,653
 40 | 2차 |    784 | 827.12~3,328.10 | 1,748.32 | 3,497 | 5,245 | 8,742 | 3,693
 50 | 2차 |  1,225 | 1,292.38~5,204.58 | 2,731.75 | 5,464 | 8,196 | 13,659 | 6,949
 60 | 2차 |  1,764 | 1,861.02~7,491.77 | 3,933.72 | 7,868 | 11,802 | 19,669 | 11,703
 70 | 2차 |  2,401 | 2,533.05~10,200.28 | 5,354.23 | 10,709 | 16,063 | 26,772 | 18,007
 80 | 3차 |  3,136 | 5,863.36~19,033.43 | 15,373.51 | 30,748 | 46,121 | 76,868 | 28,320
 90 | 3차 |  3,969 | 7,969.25~26,335.44 | 20,952.34 | 41,905 | 62,858 | 104,762 | 41,917
100 | 3차 |  4,900 | 9,839.20~37,161.60 | 26,759.48 | 53,519 | 80,279 | 133,798 | 59,250
110 | 3차 |  5,929 | 11,904.93~44,963.64 | 32,211.33 | 64,423 | 96,634 | 161,057 | 80,767
120 | 3차 |  7,056 | 14,167.69~53,509.86 | 38,167.97 | 76,336 | 114,504 | 190,840 | 105,840
130 | 4차 |  8,281 | 23,435.23~119,987.55 | 82,899.63 | 165,800 | 248,699 | 414,499 | 133,531
140 | 4차 |  9,604 | 27,179.32~149,340.60 | 106,256.02 | 212,513 | 318,769 | 531,281 | 165,669
150 | 4차 | 11,025 | 31,200.75~171,433.62 | 121,575.78 | 243,152 | 364,728 | 607,879 | 202,584
160 | 4차 | 12,544 | 35,499.52~195,052.32 | 137,653.27 | 275,307 | 412,960 | 688,267 | 244,608
170 | 4차 | 14,161 | 40,075.63~220,196.70 | 154,677.98 | 309,356 | 464,034 | 773,390 | 292,070
180 | 4차 | 15,876 | 44,929.08~246,866.76 | 172,700.62 | 345,402 | 518,102 | 863,504 | 345,303
190 | 4차 | 17,689 | 50,059.87~275,062.50 | 191,713.10 | 383,427 | 575,140 | 958,566 | 404,635
200 | 4차 | 19,600 | 55,468.00~304,774.14 | 211,715.41 | 423,431 | 635,147 | 1,058,578 | 470,400
현재 HP는 MonsterHpTable.csv의 hp를 런타임과 같이 100으로 나눈 값. 실제 테이블은 변경하지 않았다.
중앙값은 열 직업 중 가운데 두 값의 평균이다. 이 표의 공통 HP를 적용하면 직업별 처치 횟수는 달라진다.

직업별 대표 주력기 — 본체 반복 공격 기준
비숍 3차는 홀리 에로우, 썬콜 3차는 콜드빔, 불독 3차는 파이어에로우, 신궁 4차는 스트레이프를
대표로 유지한다. 샤이닝 레이·광역 마법·충전기 등은 아래 모든 공격기 상세에서 따로 비교한다.

[01. 히어로]
Lv | 차수 | 버프CP | 주력기(스킬Lv) | 확정 평균합 | 확률포함 평균 | 2회HP / 3회HP / 5회HP | 현재HP÷확정평균
    계산: 22,657×평균배율 210.00%×1타
  엘퀴네스 Lv20: 독립 소환 공격 판정 1회 114,417.85. 본체 1회 합계와 별도.
  메테오 Lv30: 판정 1타 228,835.70 / 시전 총합=228,835.70×K(실제 적중 판정 수). 위치·대상 수 필요.
  불꽃 파도 Lv30 / 1줄 / 확정 164,942.96 / 확률포함 164,942.96 / 시전CP 22,657
    계산: 22,657×평균배율 728.00%×1타

신궁 / 버프CP 14,161 / 대표 스트레이프
  1차 SP 60/60: 더블샷 20, 에로우 블로우 20, 에로우 블로우 강화 20
  2차 SP 70/120: 아이언 에로우 20, 부스터 20, 더블 점프 10, 파이널 어택:궁수 20
  3차 SP 90/150: 스트레이프 30, 아이스 샷 30, 용사 소환 30
  4차 SP 110/120: 스나이핑 30, 프리져 20, 샤프 아이즈 30, 피어싱 30
  더블샷 Lv20 / 2줄 / 확정 17,134.81 / 확률포함 21,332.84 / 시전CP 14,161
    계산: 14,161×평균배율 60.50%×2타
  에로우 블로우 Lv20 / 1줄 / 확정 18,834.13 / 확률포함 23,448.49 / 시전CP 14,161
    계산: 14,161×평균배율 133.00%×1타
  아이언 에로우 Lv20 / 1줄 / 확정 33,419.96 / 확률포함 41,607.85 / 시전CP 14,161
    계산: 14,161×평균배율 236.00%×1타
  체인샷 Lv1 / 1줄 / 확정 8,496.60 / 확률포함 8,496.60 / 시전CP 14,161
    계산: 14,161×평균배율 60.00%×1타
  스트레이프 Lv30 / 4줄 / 확정 85,947.83 / 확률포함 107,005.05 / 시전CP 14,161
    계산: 14,161×평균배율 151.73%×4타
  아이스 샷 Lv30 / 1줄 / 확정 50,271.55 / 확률포함 62,588.08 / 시전CP 14,161
    계산: 14,161×평균배율 355.00%×1타
  스나이핑 Lv30: 무충전 1타 43,491.97 / 완충 4,349,197.12. 충전 시간 별도.
  프리져 Lv20: 독립 소환 공격 판정 1회 71,513.05. 본체 1회 합계와 별도.
  피어싱 Lv30: 무충전 1타 46,731.30 / 완충 233,656.50. 충전 시간 별도.
  독립 AI/회복 소환 활성: 용사 소환 — 선택 직업·행동·공격 횟수에 따라 달라 본체 합계에 고정 가산하지 않음.

보우마스터 / 버프CP 14,161 / 대표 폭풍의 시
  1차 SP 60/60: 더블샷 20, 에로우 블로우 20, 에로우 블로우 강화 20
  2차 SP 90/120: 속사 20, 부스터 20, 더블 점프 10, 에로우 봄 20, 파이널 어택:궁수 20
  3차 SP 90/150: 스트레이프 30, 파이어 샷 30, 용사 소환 30
  4차 SP 80/120: 폭풍의 시 30, 피닉스 20, 샤프 아이즈 30
  더블샷 Lv20 / 2줄 / 확정 17,134.81 / 확률포함 21,332.84 / 시전CP 14,161
    계산: 14,161×평균배율 60.50%×2타
  에로우 블로우 Lv20 / 1줄 / 확정 18,834.13 / 확률포함 23,448.49 / 시전CP 14,161
    계산: 14,161×평균배율 133.00%×1타
  속사 Lv20 / 1줄 / 확정 14,939.85 / 확률포함 18,600.12 / 시전CP 14,161
    계산: 14,161×평균배율 105.50%×1타
    한 발 발사 주기 기준. 키를 누르는 전체 시간의 합계가 아님.
  체인샷 Lv1 / 1줄 / 확정 8,496.60 / 확률포함 8,496.60 / 시전CP 14,161
    계산: 14,161×평균배율 60.00%×1타
  에로우 봄 Lv20 / 1줄 / 확정 19,919.81 / 확률포함 24,800.16 / 시전CP 14,161
    계산: 14,161×평균배율 140.67%×1타
  스트레이프 Lv30 / 4줄 / 확정 85,947.83 / 확률포함 107,005.05 / 시전CP 14,161
    계산: 14,161×평균배율 151.73%×4타
  파이어 샷 Lv30 / 1줄 / 확정 50,271.55 / 확률포함 62,588.08 / 시전CP 14,161
    계산: 14,161×평균배율 355.00%×1타
  폭풍의 시 Lv30 / 1줄 / 확정 40,075.63 / 확률포함 49,894.16 / 시전CP 14,161
    계산: 14,161×평균배율 283.00%×1타
    한 발 발사 주기 기준. 키를 누르는 전체 시간의 합계가 아님.
  피닉스 Lv20: 독립 소환 공격 판정 1회 71,513.05. 본체 1회 합계와 별도.
  독립 AI/회복 소환 활성: 용사 소환 — 선택 직업·행동·공격 횟수에 따라 달라 본체 합계에 고정 가산하지 않음.

나이트로드 / 버프CP 21,937 / 대표 쿼드러플 스로우
  1차 SP 60/60: 럭키세븐 20, 표창+ 20, 트레이닝 20
  2차 SP 120/120: 암행 20, 헤이스트 20, 부스터 20, 표창+ II 30, 페이크 20, 드레인 샷 10
  3차 SP 120/150: 쉐도우 파트너 30, 트리플 스로우 30, 어벤져 20, 표창+ III 30, 플래시 점프 10
  4차 SP 80/120: 쿼드러플 스로우 30, 각성 30, 표창+ IV 20
  럭키세븐 Lv20 / 2+2=4줄 / 확정 38,010.68 / 확률포함 49,989.80 / 시전CP 21,937
    계산: 21,937×평균배율 48.40%×2타×쉐파 1.79
  드레인 샷 Lv10 / 1줄 / 확정 16,452.75 / 확률포함 18,125.81 / 시전CP 21,937
    계산: 21,937×평균배율 75.00%×1타
  트리플 스로우 Lv30 / 3+3=6줄 / 확정 84,228.21 / 확률포함 102,196.89 / 시전CP 21,937
    계산: 21,937×평균배율 71.50%×3타×쉐파 1.79
  어벤져 Lv20 / 1+1=2줄 / 확정 89,136.61 / 확률포함 95,126.17 / 시전CP 21,937
    계산: 21,937×평균배율 227.00%×1타×쉐파 1.79
  쿼드러플 스로우 Lv30 / 4+4=8줄 / 확정 159,424.95 / 확률포함 183,383.20 / 시전CP 21,937
    계산: 21,937×평균배율 101.50%×4타×쉐파 1.79

섀도어 / 버프CP 14,161 / 대표 부메랑 스탭
  1차 SP 60/60: 더블스탭 20, 다크사이트 20, 분신 소환 20
  2차 SP 120/120: 헤이스트 20, 새비지블로우 30, 부스터 20, 페이크 20, 암행 20, 분신 강화 10
  3차 SP 130/150: 암행2 20, 쉐도우 파트너 30, 어썰터 30, 백스탭 20, 분신 강화 II 20, 플래시 점프 10
  4차 SP 120/120: 암살 30, 부메랑 스탭 30, 연막 40, 분신 강화 III 20
  더블스탭 Lv20 / 2+2=4줄 / 확정 47,847.24 / 확률포함 60,838.49 / 시전CP 14,161
    계산: 14,161×평균배율 78.65%×2타×쉐파 1.79×후방 1.20
    다크사이트 ON 가상 비크리 첫타: 191,388.97 (반복 기준 아님; 실제 은신 공격은 강제 크리).
  새비지블로우 Lv30 / 6+6=12줄 / 확정 82,493.15 / 확률포함 121,466.90 / 시전CP 14,161
    계산: 14,161×평균배율 45.20%×6타×쉐파 1.79×후방 1.20
    다크사이트 ON 가상 비크리 첫타: 329,972.60 (반복 기준 아님; 실제 은신 공격은 강제 크리).
  어썰터 Lv30 / 1+1=2줄 / 확정 99,162.12 / 확률포함 105,657.75 / 시전CP 14,161
    계산: 14,161×평균배율 326.00%×1타×쉐파 1.79×후방 1.20
    다크사이트 ON 가상 비크리 첫타: 396,648.48 (반복 기준 아님; 실제 은신 공격은 강제 크리).
  암살 Lv30 / 10+10=20줄 / 확정 524,707.53 / 확률포함 589,663.79 / 시전CP 14,161
    계산: 14,161×평균배율 172.50%×10타×쉐파 1.79×후방 1.20
    다크사이트 ON 가상 비크리 첫타: 2,098,830.13 (반복 기준 아님; 실제 은신 공격은 강제 크리).
  부메랑 스탭 Lv30 / 3+3=6줄 / 확정 99,162.12 / 확률포함 118,649.00 / 시전CP 14,161
    계산: 14,161×평균배율 108.67%×3타×쉐파 1.79×후방 1.20
    다크사이트 ON 가상 비크리 첫타: 396,648.48 (반복 기준 아님; 실제 은신 공격은 강제 크리).
  독립 AI/회복 소환 활성: 분신 소환 — 선택 직업·행동·공격 횟수에 따라 달라 본체 합계에 고정 가산하지 않음.

######## Lv180 / 4차 이하 ########

히어로 / 버프CP 25,242 / 대표 브랜디쉬
  1차 SP 55/60: 파워스트라이크 20, 러시 15, 슬래시블러스트 20
  2차 SP 80/120: 파이널어택 20, 부스터 20, 분노 20, 파워가드 20
  3차 SP 130/150: 콤보 어택 30, 파워스트라이크 강화 30, 패닉 30, 코마 20, 발도술 20
  4차 SP 100/120: 어드밴스드 콤보 30, 브랜디쉬 30, 기사 소환 20, 돌진 20
  파워스트라이크 Lv20 / 1줄 / 확정 83,298.60 / 확률포함 134,318.99 / 시전CP 25,242
    계산: 25,242×평균배율 330.00%×1타
  슬래시블러스트 Lv20 / 1줄 / 확정 26,504.10 / 확률포함 42,737.86 / 시전CP 25,242
    계산: 25,242×평균배율 105.00%×1타
  패닉 Lv30 / 10줄 / 확정 1,393,098.00 / 확률포함 1,393,098.00 / 시전CP 19,416
    계산: 19,416×평균배율 717.50%×10타
    최대 콤보 10개를 소모하는 1회 사용 합계. 재충전 공격 필요.
  코마 Lv20 / 10줄 / 확정 407,736.00 / 확률포함 407,736.00 / 시전CP 19,416
    계산: 19,416×평균배율 210.00%×10타
    최대 콤보 10개를 소모하는 1회 사용 합계. 재충전 공격 필요.
  브랜디쉬 Lv30 / 3줄 / 확정 246,866.76 / 확률포함 297,268.72 / 시전CP 25,242
    계산: 25,242×평균배율 326.00%×3타
  돌진 Lv20 / 1줄 / 확정 40,892.04 / 확률포함 40,892.04 / 시전CP 25,242
    계산: 25,242×평균배율 162.00%×1타
  독립 AI/회복 소환 활성: 기사 소환 — 선택 직업·행동·공격 횟수에 따라 달라 본체 합계에 고정 가산하지 않음.

팔라딘 / 버프CP 15,876 / 대표 차지 블로우
  1차 SP 55/60: 파워스트라이크 20, 러시 15, 슬래시블러스트 20
  2차 SP 100/120: 파이널어택 20, 리스토네이션 10, 부스터 20, 파워가드 20, 가드 10, 아이언 월 20
  3차 SP 120/150: 차지 블로우 20, 디바인 스윙 강화 20, 디바인 스티그마 강화 20, 디바인 저지먼트 강화 20, 디바인 차지 20, 속성필드 20
  4차 SP 70/120: 차지 블로우 강화 20, 돌진 20, 궁병 지원 20, 속성 증폭 10
  파워스트라이크 Lv20 / 1줄 / 확정 33,339.60 / 확률포함 53,760.10 / 시전CP 15,876
    계산: 15,876×평균배율 210.00%×1타
  슬래시블러스트 Lv20 / 1줄 / 확정 16,669.80 / 확률포함 26,880.05 / 시전CP 15,876
    계산: 15,876×평균배율 105.00%×1타
  차지 블로우 Lv20 / 1줄 / 확정 150,881.94 / 확률포함 243,297.13 / 시전CP 25,401
    계산: 25,401×평균배율 594.00%×1타
  돌진 Lv20 / 1줄 / 확정 25,719.12 / 확률포함 25,719.12 / 시전CP 15,876
    계산: 15,876×평균배율 162.00%×1타
  궁병 지원 Lv20: 독립 소환 공격 판정 1회 86,206.68. 본체 1회 합계와 별도.

다크나이트 / 버프CP 20,638 / 대표 스피어 버스터
  1차 SP 40/60: 파워스트라이크 20, 슬래시블러스트 20
  2차 SP 80/120: 파이널어택 20, 부스터 20, 서먼 다크드래곤 20, 파워가드 20
  3차 SP 110/150: 스피어 버스터 30, 드래곤 로어 30, 드래곤 라이딩 20, 힐러 소환 30
  4차 SP 80/120: 어드밴스드 스피어 버스터 30, 돌진 20, 드래곤 블러드 30
  파워스트라이크 Lv20 / 1줄 / 확정 43,339.80 / 확률포함 69,885.43 / 시전CP 20,638
    계산: 20,638×평균배율 210.00%×1타
  슬래시블러스트 Lv20 / 1줄 / 확정 21,669.90 / 확률포함 34,942.71 / 시전CP 20,638
    계산: 20,638×평균배율 105.00%×1타
  서먼 다크드래곤 Lv20: 독립 소환 공격 판정 1회 63,977.80. 본체 1회 합계와 별도.
  스피어 버스터 Lv30 / 3줄 / 확정 180,169.74 / 확률포함 290,523.71 / 시전CP 20,638
    계산: 20,638×평균배율 291.00%×3타
  드래곤 로어 Lv30 / 1줄 / 확정 73,264.90 / 확률포함 73,264.90 / 시전CP 20,638
    계산: 20,638×평균배율 355.00%×1타
  드래곤 라이딩 Lv20: 독립 소환 공격 판정 1회 104,737.85. 본체 1회 합계와 별도.
  돌진 Lv20 / 1줄 / 확정 33,433.56 / 확률포함 33,433.56 / 시전CP 20,638
    계산: 20,638×평균배율 162.00%×1타
  독립 AI/회복 소환 활성: 힐러 소환 — 선택 직업·행동·공격 횟수에 따라 달라 본체 합계에 고정 가산하지 않음.

비숍 / 버프CP 20,656 / 대표 엔젤레이
  1차 SP 40/60: 매직클로 20, 매직 미사일 20
  2차 SP 120/120: 텔레포트 10, 힐 30, 홀리 에로우 20, 부스터 20, 블레스 30, 도적 소환 10
  3차 SP 100/150: 샤이닝 레이 20, 용사 소환 30, 홀리 매직쉘 30, 매직 부스터 20
  4차 SP 120/120: 바하뮤트 20, 제네시스 30, 리커버리 오로라 30, 리저렉션 9, 엔젤레이 30, 궁수 소환 1
  매직클로 Lv20 / 2줄 / 확정 24,993.76 / 확률포함 24,993.76 / 시전CP 20,656
    계산: 20,656×평균배율 60.50%×2타
  매직 미사일 Lv20 / 17줄 / 확정 368,709.60 / 확률포함 368,709.60 / 시전CP 20,656
    계산: 20,656×평균배율 105.00%×17타
  힐 Lv30 / 1줄 / 확정 21,688.80 / 확률포함 21,688.80 / 시전CP 20,656
    계산: 20,656×평균배율 105.00%×1타
  홀리 에로우 Lv20 / 1줄 / 확정 51,846.56 / 확률포함 51,846.56 / 시전CP 20,656
    계산: 20,656×평균배율 251.00%×1타
  샤이닝 레이 Lv20 / 1줄 / 확정 375,939.20 / 확률포함 375,939.20 / 시전CP 20,656
    계산: 20,656×평균배율 1,820.00%×1타
  바하뮤트 Lv20: 독립 소환 공격 판정 1회 104,312.80. 본체 1회 합계와 별도.
  제네시스 Lv30: 판정 1타 208,625.60 / 시전 총합=208,625.60×K(실제 적중 판정 수). 위치·대상 수 필요.
  엔젤레이 Lv30 / 1줄 / 확정 167,313.60 / 확률포함 167,313.60 / 시전CP 20,656
    계산: 20,656×평균배율 810.00%×1타
  독립 AI/회복 소환 활성: 도적 소환, 용사 소환, 궁수 소환 — 선택 직업·행동·공격 횟수에 따라 달라 본체 합계에 고정 가산하지 않음.

아크메이지(썬,콜) / 버프CP 22,226 / 대표 체인라이트닝
  1차 SP 60/60: 매직클로 20, 매직 미사일 20, 콜드빔 20
  2차 SP 90/120: 텔레포트 10, 썬더볼트 20, 부스터 20, 빙하지대 20, 메디테이션 20
  3차 SP 120/150: 용사 소환 30, 아이스 스트라이크 20, 아이스 데몬 30, 소환수 강화 20, 매직 부스터 20
  4차 SP 110/120: 체인라이트닝 30, 이프리트 20, 블리자드 30, 리커버리 오로라 30
  매직클로 Lv20 / 2줄 / 확정 26,893.46 / 확률포함 26,893.46 / 시전CP 22,226
    계산: 22,226×평균배율 60.50%×2타
  매직 미사일 Lv20 / 17줄 / 확정 396,734.10 / 확률포함 396,734.10 / 시전CP 22,226
    계산: 22,226×평균배율 105.00%×17타
  썬더볼트 Lv20 / 1줄 / 확정 37,191.51 / 확률포함 37,191.51 / 시전CP 22,226
    계산: 22,226×평균배율 167.33%×1타
  콜드빔 Lv20 / 1줄 / 확정 78,691.89 / 확률포함 78,691.89 / 시전CP 22,226
    계산: 22,226×평균배율 354.05%×1타
  아이스 스트라이크 Lv20 / 1줄 / 확정 101,128.30 / 확률포함 101,128.30 / 시전CP 22,226
    계산: 22,226×평균배율 455.00%×1타
  아이스 데몬 Lv30 / 1줄 / 확정 46,674.60 / 확률포함 46,674.60 / 시전CP 22,226
    계산: 22,226×평균배율 210.00%×1타
  체인라이트닝 Lv30 / 1줄 / 확정 230,039.10 / 확률포함 230,039.10 / 시전CP 22,226
    계산: 22,226×평균배율 1,035.00%×1타
  이프리트 Lv20: 독립 소환 공격 판정 1회 112,241.30. 본체 1회 합계와 별도.
  블리자드 Lv30: 판정 1타 224,482.60 / 시전 총합=224,482.60×K(실제 적중 판정 수). 위치·대상 수 필요.
  독립 AI/회복 소환 활성: 용사 소환 — 선택 직업·행동·공격 횟수에 따라 달라 본체 합계에 고정 가산하지 않음.

아크메이지(불,독) / 버프CP 25,401 / 대표 불꽃 파도
  1차 SP 40/60: 매직클로 20, 매직 미사일 20
  2차 SP 90/120: 텔레포트 10, 파이어에로우 20, 부스터 20, 불의 영역 20, 메디테이션 20
  3차 SP 130/150: 포이즌 미스트 20, 익스플로젼 20, 불과 친화력 20, 매직 부스터 20, 파이어데몬 30, 파이어데몬 강화 20
  4차 SP 120/120: 엘퀴네스 20, 메테오 30, 불꽃 파도 30, 리커버리 마나 20, 파이어에로우 강화 20
  매직클로 Lv20 / 2줄 / 확정 30,735.21 / 확률포함 30,735.21 / 시전CP 25,401
    계산: 25,401×평균배율 60.50%×2타
  매직 미사일 Lv20 / 17줄 / 확정 453,407.85 / 확률포함 453,407.85 / 시전CP 25,401
    계산: 25,401×평균배율 105.00%×17타
  파이어에로우 Lv20 / 1줄 / 확정 81,410.21 / 확률포함 81,410.21 / 시전CP 25,401
    계산: 25,401×평균배율 320.50%×1타
  포이즌 미스트 Lv20: 1초 1틱 28,449.12 / 총합=28,449.12×적중 틱 수, 적 HP 1에서 멈춤.
  익스플로젼 Lv20 / 1줄 / 확정 205,748.10 / 확률포함 205,748.10 / 시전CP 25,401
    계산: 25,401×평균배율 810.00%×1타
  파이어데몬 Lv30 / 1줄 / 확정 53,342.10 / 확률포함 53,342.10 / 시전CP 25,401
    계산: 25,401×평균배율 210.00%×1타
  엘퀴네스 Lv20: 독립 소환 공격 판정 1회 128,275.05. 본체 1회 합계와 별도.
  메테오 Lv30: 판정 1타 256,550.10 / 시전 총합=256,550.10×K(실제 적중 판정 수). 위치·대상 수 필요.
  불꽃 파도 Lv30 / 1줄 / 확정 184,919.28 / 확률포함 184,919.28 / 시전CP 25,401
    계산: 25,401×평균배율 728.00%×1타

신궁 / 버프CP 15,876 / 대표 스트레이프
  1차 SP 60/60: 더블샷 20, 에로우 블로우 20, 에로우 블로우 강화 20
  2차 SP 70/120: 아이언 에로우 20, 부스터 20, 더블 점프 10, 파이널 어택:궁수 20
  3차 SP 90/150: 스트레이프 30, 아이스 샷 30, 용사 소환 30
  4차 SP 110/120: 스나이핑 30, 프리져 20, 샤프 아이즈 30, 피어싱 30
  더블샷 Lv20 / 2줄 / 확정 19,209.96 / 확률포함 23,916.40 / 시전CP 15,876
    계산: 15,876×평균배율 60.50%×2타
  에로우 블로우 Lv20 / 1줄 / 확정 21,115.08 / 확률포함 26,288.27 / 시전CP 15,876
    계산: 15,876×평균배율 133.00%×1타
  아이언 에로우 Lv20 / 1줄 / 확정 37,467.36 / 확률포함 46,646.86 / 시전CP 15,876
    계산: 15,876×평균배율 236.00%×1타
  체인샷 Lv1 / 1줄 / 확정 9,525.60 / 확률포함 9,525.60 / 시전CP 15,876
    계산: 15,876×평균배율 60.00%×1타
  스트레이프 Lv30 / 4줄 / 확정 96,356.74 / 확률포함 119,964.14 / 시전CP 15,876
    계산: 15,876×평균배율 151.73%×4타
  아이스 샷 Lv30 / 1줄 / 확정 56,359.80 / 확률포함 70,167.95 / 시전CP 15,876
    계산: 15,876×평균배율 355.00%×1타
  스나이핑 Lv30: 무충전 1타 48,759.17 / 완충 4,875,916.50. 충전 시간 별도.
  프리져 Lv20: 독립 소환 공격 판정 1회 80,173.80. 본체 1회 합계와 별도.
  피어싱 Lv30: 무충전 1타 52,390.80 / 완충 261,954.00. 충전 시간 별도.
  독립 AI/회복 소환 활성: 용사 소환 — 선택 직업·행동·공격 횟수에 따라 달라 본체 합계에 고정 가산하지 않음.

보우마스터 / 버프CP 15,876 / 대표 폭풍의 시
  1차 SP 60/60: 더블샷 20, 에로우 블로우 20, 에로우 블로우 강화 20
  2차 SP 90/120: 속사 20, 부스터 20, 더블 점프 10, 에로우 봄 20, 파이널 어택:궁수 20
  3차 SP 90/150: 스트레이프 30, 파이어 샷 30, 용사 소환 30
  4차 SP 80/120: 폭풍의 시 30, 피닉스 20, 샤프 아이즈 30
  더블샷 Lv20 / 2줄 / 확정 19,209.96 / 확률포함 23,916.40 / 시전CP 15,876
    계산: 15,876×평균배율 60.50%×2타
  에로우 블로우 Lv20 / 1줄 / 확정 21,115.08 / 확률포함 26,288.27 / 시전CP 15,876
    계산: 15,876×평균배율 133.00%×1타
  속사 Lv20 / 1줄 / 확정 16,749.18 / 확률포함 20,852.73 / 시전CP 15,876
    계산: 15,876×평균배율 105.50%×1타
    한 발 발사 주기 기준. 키를 누르는 전체 시간의 합계가 아님.
  체인샷 Lv1 / 1줄 / 확정 9,525.60 / 확률포함 9,525.60 / 시전CP 15,876
    계산: 15,876×평균배율 60.00%×1타
  에로우 봄 Lv20 / 1줄 / 확정 22,332.24 / 확률포함 27,803.64 / 시전CP 15,876
    계산: 15,876×평균배율 140.67%×1타
  스트레이프 Lv30 / 4줄 / 확정 96,356.74 / 확률포함 119,964.14 / 시전CP 15,876
    계산: 15,876×평균배율 151.73%×4타
  파이어 샷 Lv30 / 1줄 / 확정 56,359.80 / 확률포함 70,167.95 / 시전CP 15,876
    계산: 15,876×평균배율 355.00%×1타
  폭풍의 시 Lv30 / 1줄 / 확정 44,929.08 / 확률포함 55,936.70 / 시전CP 15,876
    계산: 15,876×평균배율 283.00%×1타
    한 발 발사 주기 기준. 키를 누르는 전체 시간의 합계가 아님.
  피닉스 Lv20: 독립 소환 공격 판정 1회 80,173.80. 본체 1회 합계와 별도.
  독립 AI/회복 소환 활성: 용사 소환 — 선택 직업·행동·공격 횟수에 따라 달라 본체 합계에 고정 가산하지 않음.

나이트로드 / 버프CP 24,505 / 대표 쿼드러플 스로우
  1차 SP 60/60: 럭키세븐 20, 표창+ 20, 트레이닝 20
  2차 SP 120/120: 암행 20, 헤이스트 20, 부스터 20, 표창+ II 30, 페이크 20, 드레인 샷 10
  3차 SP 120/150: 쉐도우 파트너 30, 트리플 스로우 30, 어벤져 20, 표창+ III 30, 플래시 점프 10
  4차 SP 80/120: 쿼드러플 스로우 30, 각성 30, 표창+ IV 20
